,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
19000,2015,1,2,5,MQ,3392,N617MQ,CLE,ORD,1010,1105.0,55.0,10.0,1115.0,95.0,77.0,59.0,315,1114.0,8.0,1045,1122.0,37.0,0,0,,0.0,0.0,0.0,37.0,0.0
20000,2015,1,2,5,EV,4731,N14902,ATW,ORD,1111,1109.0,-2.0,11.0,1120.0,56.0,52.0,33.0,160,1153.0,8.0,1207,1201.0,-6.0,0,0,,,,,,
21000,2015,1,2,5,EV,5063,N878AS,FAY,ATL,1207,1159.0,-8.0,11.0,1210.0,88.0,90.0,72.0,331,1322.0,7.0,1335,1329.0,-6.0,0,0,,,,,,
22000,2015,1,2,5,B6,1435,N806JB,SFO,LGB,1310,1334.0,24.0,24.0,1358.0,82.0,88.0,60.0,354,1458.0,4.0,1432,1502.0,30.0,0,0,,6.0,0.0,0.0,24.0,0.0
23000,2015,1,2,5,OO,5637,N507CA,SFO,TUS,1405,1401.0,-4.0,16.0,1417.0,125.0,120.0,99.0,751,1656.0,5.0,1710,1701.0,-9.0,0,0,,,,,,
24000,2015,1,2,5,NK,906,N619NK,DEN,IAH,1505,1607.0,62.0,12.0,1619.0,139.0,162.0,126.0,862,1925.0,24.0,1824,1949.0,85.0,0,0,,85.0,0.0,0.0,0.0,0.0
25000,2015,1,2,5,EV,6188,N14960,CRW,ORD,1609,1559.0,-10.0,6.0,1605.0,93.0,91.0,73.0,416,1618.0,12.0,1642,1630.0,-12.0,0,0,,,,,,
26000,2015,1,2,5,OO,4592,N675BR,GTF,SLC,1710,1710.0,0.0,31.0,1741.0,96.0,98.0,64.0,463,1845.0,3.0,1846,1848.0,2.0,0,0,,,,,,
27000,2015,1,2,5,EV,4253,N14950,CAE,IAH,1804,1752.0,-12.0,10.0,1802.0,161.0,179.0,160.0,878,1942.0,9.0,1945,1951.0,6.0,0,0,,,,,,
28000,2015,1,2,5,WN,1150,N212WN,FLL,HOU,1905,1912.0,7.0,12.0,1924.0,175.0,167.0,146.0,957,2050.0,9.0,2100,2059.0,-1.0,0,0,,,,,,
29000,2015,1,2,5,WN,250,N252WN,HOU,MEM,2005,2105.0,60.0,13.0,2118.0,85.0,81.0,64.0,484,2222.0,4.0,2130,2226.0,56.0,0,0,,0.0,0.0,0.0,56.0,0.0
30000,2015,1,2,5,WN,257,N421LV,ATL,FLL,2140,2237.0,57.0,10.0,2247.0,115.0,100.0,86.0,581,13.0,4.0,2335,17.0,42.0,0,0,,0.0,0.0,32.0,10.0,0.0
31000,2015,1,3,6,UA,520,N841UA,PBI,EWR,600,602.0,2.0,14.0,616.0,169.0,153.0,132.0,1023,828.0,7.0,849,835.0,-14.0,0,0,,,,,,
32000,2015,1,3,6,OO,4466,N161PQ,ORD,MSP,645,652.0,7.0,42.0,734.0,89.0,108.0,61.0,334,835.0,5.0,814,840.0,26.0,0,0,,19.0,0.0,7.0,0.0,0.0
33000,2015,1,3,6,DL,2648,N977AT,TPA,JFK,745,740.0,-5.0,10.0,750.0,156.0,145.0,124.0,1005,954.0,11.0,1021,1005.0,-16.0,0,0,,,,,,
34000,2015,1,3,6,WN,243,N929WN,STL,BOS,845,908.0,23.0,10.0,918.0,150.0,138.0,122.0,1047,1220.0,6.0,1215,1226.0,11.0,0,0,,,,,,
35000,2015,1,3,6,HA,41,N391HA,SFO,OGG,950,949.0,-1.0,13.0,1002.0,325.0,339.0,318.0,2338,1320.0,8.0,1315,1328.0,13.0,0,0,,,,,,
36000,2015,1,3,6,F9,1257,N227FR,MIA,ORD,1050,1333.0,163.0,16.0,1349.0,200.0,209.0,178.0,1197,1547.0,15.0,1310,1602.0,172.0,0,0,,44.0,0.0,7.0,121.0,0.0
37000,2015,1,3,6,US,1872,N836AW,DCA,MCO,1155,1149.0,-6.0,10.0,1159.0,143.0,136.0,110.0,759,1349.0,16.0,1418,1405.0,-13.0,0,0,,,,,,
38000,2015,1,3,6,WN,275,N259WN,TPA,ATL,1300,1354.0,54.0,20.0,1414.0,90.0,95.0,64.0,406,1518.0,11.0,1430,1529.0,59.0,0,0,,5.0,0.0,12.0,42.0,0.0
39000,2015,1,3,6,B6,1006,N570JB,LGB,SEA,1400,1355.0,-5.0,9.0,1404.0,163.0,162.0,147.0,965,1631.0,6.0,1643,1637.0,-6.0,0,0,,,,,,
40000,2015,1,3,6,AS,838,N569AS,HNL,OAK,1505,1611.0,66.0,29.0,1640.0,321.0,328.0,291.0,2409,2331.0,8.0,2226,2339.0,73.0,0,0,,7.0,0.0,0.0,66.0,0.0
41000,2015,1,3,6,US,494,N189UW,LAX,PHX,1615,1635.0,20.0,18.0,1653.0,81.0,88.0,62.0,370,1855.0,8.0,1836,1903.0,27.0,0,0,,7.0,13.0,0.0,7.0,0.0
42000,2015,1,3,6,EV,5746,N833AS,IAD,BDL,1718,1803.0,45.0,36.0,1839.0,79.0,96.0,53.0,326,1932.0,7.0,1837,1939.0,62.0,0,0,,17.0,0.0,11.0,34.0,0.0
43000,2015,1,3,6,OO,5203,N778SK,LAX,ASE,1815,1956.0,101.0,27.0,2023.0,128.0,134.0,103.0,737,2306.0,4.0,2123,2310.0,107.0,0,0,,6.0,0.0,101.0,0.0,0.0
44000,2015,1,3,6,WN,2775,N289CT,BOI,OAK,1930,1947.0,17.0,10.0,1957.0,105.0,96.0,79.0,511,2016.0,7.0,2015,2023.0,8.0,0,0,,,,,,
45000,2015,1,3,6,B6,317,N334JB,BOS,JFK,2040,2230.0,110.0,33.0,2303.0,73.0,92.0,49.0,187,2352.0,10.0,2153,2.0,129.0,0,0,,32.0,0.0,0.0,0.0,97.0
46000,2015,1,3,6,AA,195,N3GFAA,LAX,IAD,2305,2259.0,-6.0,17.0,2316.0,285.0,275.0,254.0,2288,630.0,4.0,650,634.0,-16.0,0,0,,,,,,
47000,2015,1,4,7,OO,4642,N549CA,BOI,LAX,615,631.0,16.0,4.0,635.0,130.0,106.0,92.0,674,707.0,10.0,725,717.0,-8.0,0,0,,,,,,
48000,2015,1,4,7,OO,4652,N608SK,ASE,MSP,715,803.0,48.0,22.0,825.0,146.0,135.0,104.0,802,1109.0,9.0,1041,1118.0,37.0,0,0,,0.0,0.0,37.0,0.0,0.0
49000,2015,1,4,7,MQ,2832,N615MQ,DFW,HSV,815,820.0,5.0,25.0,845.0,103.0,104.0,73.0,603,958.0,6.0,958,1004.0,6.0,0,0,,,,,,
50000,2015,1,4,7,DL,1091,N924DN,JAX,ATL,915,938.0,23.0,29.0,1007.0,75.0,78.0,44.0,270,1051.0,5.0,1030,1056.0,26.0,0,0,,26.0,0.0,0.0,0.0,0.0
51000,2015,1,4,7,DL,1746,N617DL,MIA,ATL,1015,1018.0,3.0,21.0,1039.0,115.0,115.0,84.0,594,1203.0,10.0,1210,1213.0,3.0,0,0,,,,,,
52000,2015,1,4,7,EV,5795,N11536,BTV,ORD,1117,1128.0,11.0,26.0,1154.0,159.0,248.0,155.0,763,1329.0,67.0,1256,1436.0,100.0,0,0,,100.0,0.0,0.0,0.0,0.0
53000,2015,1,4,7,AA,1082,N3HSAA,LGA,MIA,1215,1205.0,-10.0,38.0,1243.0,195.0,221.0,175.0,1096,1538.0,8.0,1530,1546.0,16.0,0,0,,16.0,0.0,0.0,0.0,0.0
54000,2015,1,4,7,EV,5528,N755EV,BTV,LGA,1317,1332.0,15.0,15.0,1347.0,90.0,102.0,74.0,258,1501.0,13.0,1447,1514.0,27.0,0,0,,12.0,0.0,15.0,0.0,0.0
55000,2015,1,4,7,OO,4670,N910EV,MSP,XNA,1415,1418.0,3.0,38.0,1456.0,121.0,128.0,84.0,596,1620.0,6.0,1616,1626.0,10.0,0,0,,,,,,
56000,2015,1,4,7,OO,6509,N748SK,DEN,SEA,1516,1551.0,35.0,18.0,1609.0,182.0,206.0,178.0,1024,1807.0,10.0,1718,1817.0,59.0,0,0,,24.0,0.0,3.0,32.0,0.0
57000,2015,1,4,7,WN,2063,N408WN,MDW,CHS,1620,1755.0,95.0,8.0,1803.0,125.0,110.0,97.0,745,2040.0,5.0,1925,2045.0,80.0,0,0,,0.0,0.0,39.0,41.0,0.0
58000,2015,1,4,7,B6,487,N634JB,BOS,LAX,1720,1802.0,42.0,14.0,1816.0,395.0,389.0,365.0,2611,2121.0,10.0,2055,2131.0,36.0,0,0,,0.0,0.0,36.0,0.0,0.0
59000,2015,1,4,7,WN,115,N205WN,DAY,BWI,1815,1835.0,20.0,7.0,1842.0,80.0,96.0,83.0,406,2005.0,6.0,1935,2011.0,36.0,0,0,,16.0,0.0,0.0,20.0,0.0
60000,2015,1,4,7,F9,251,N938FR,IAH,DEN,1919,2030.0,71.0,13.0,2043.0,151.0,145.0,122.0,862,2145.0,10.0,2050,2155.0,65.0,0,0,,0.0,0.0,0.0,65.0,0.0
61000,2015,1,4,7,WN,115,N205WN,BWI,RSW,2020,2116.0,56.0,8.0,2124.0,160.0,160.0,148.0,919,2352.0,4.0,2300,2356.0,56.0,0,0,,0.0,0.0,20.0,36.0,0.0
62000,2015,1,4,7,NK,416,N617NK,FLL,IAG,2155,2242.0,47.0,14.0,2256.0,174.0,171.0,145.0,1176,121.0,12.0,49,133.0,44.0,0,0,,44.0,0.0,0.0,0.0,0.0
63000,2015,1,5,1,DL,1952,N926AT,DSM,ATL,600,605.0,5.0,26.0,631.0,139.0,131.0,93.0,743,904.0,12.0,919,916.0,-3.0,0,0,,,,,,
64000,2015,1,5,1,AA,1104,N3CMAA,DFW,LGA,655,657.0,2.0,12.0,709.0,190.0,161.0,145.0,1389,1034.0,4.0,1105,1038.0,-27.0,0,0,,,,,,
65000,2015,1,5,1,US,487,N536UW,CLT,SAN,750,800.0,10.0,17.0,817.0,320.0,299.0,278.0,2077,955.0,4.0,1010,959.0,-11.0,0,0,,,,,,
66000,2015,1,5,1,DL,2115,N682DA,ATL,BOS,844,848.0,4.0,14.0,902.0,149.0,123.0,104.0,946,1046.0,5.0,1113,1051.0,-22.0,0,0,,,,,,
67000,2015,1,5,1,WN,2469,N491WN,BOS,BWI,945,939.0,-6.0,26.0,1005.0,105.0,107.0,77.0,369,1122.0,4.0,1130,1126.0,-4.0,0,0,,,,,,
68000,2015,1,5,1,MQ,2989,N512MQ,DFW,LBB,1040,1052.0,12.0,25.0,1117.0,68.0,76.0,48.0,282,1205.0,3.0,1148,1208.0,20.0,0,0,,8.0,0.0,7.0,5.0,0.0
69000,2015,1,5,1,WN,147,N407WN,ATL,LAS,1140,1209.0,29.0,20.0,1229.0,280.0,265.0,241.0,1747,1330.0,4.0,1320,1334.0,14.0,0,0,,,,,,
70000,2015,1,5,1,WN,2181,N915WN,SMF,PHX,1240,1317.0,37.0,9.0,1326.0,105.0,101.0,88.0,647,1554.0,4.0,1525,1558.0,33.0,0,0,,0.0,0.0,6.0,27.0,0.0
71000,2015,1,5,1,WN,288,N928WN,BWI,BOS,1340,1344.0,4.0,11.0,1355.0,80.0,69.0,52.0,369,1447.0,6.0,1500,1453.0,-7.0,0,0,,,,,,
72000,2015,1,5,1,HA,302,N475HA,HNL,ITO,1438,1447.0,9.0,13.0,1500.0,51.0,54.0,35.0,216,1535.0,6.0,1529,1541.0,12.0,0,0,,,,,,
73000,2015,1,5,1,MQ,3453,N651MQ,SJT,DFW,1535,1535.0,0.0,10.0,1545.0,65.0,85.0,44.0,229,1629.0,31.0,1640,1700.0,20.0,0,0,,20.0,0.0,0.0,0.0,0.0
74000,2015,1,5,1,MQ,3055,N686MQ,DFW,GGG,1635,1657.0,22.0,14.0,1711.0,48.0,46.0,28.0,140,1739.0,4.0,1723,1743.0,20.0,0,0,,0.0,0.0,1.0,19.0,0.0
75000,2015,1,5,1,F9,1055,N948FR,PHX,SFO,1735,1821.0,46.0,12.0,1833.0,125.0,109.0,91.0,651,1904.0,6.0,1840,1910.0,30.0,0,0,,0.0,0.0,30.0,0.0,0.0
76000,2015,1,5,1,VX,938,N642VA,SFO,LAX,1835,1833.0,-2.0,12.0,1845.0,80.0,77.0,53.0,337,1938.0,12.0,1955,1950.0,-5.0,0,0,,,,,,
77000,2015,1,5,1,OO,5358,N937SW,SBA,LAX,1940,1930.0,-10.0,15.0,1945.0,50.0,52.0,26.0,89,2011.0,11.0,2030,2022.0,-8.0,0,0,,,,,,
78000,2015,1,5,1,B6,1103,N524JB,JFK,SJU,2054,2151.0,57.0,40.0,2231.0,230.0,242.0,196.0,1598,247.0,6.0,144,253.0,69.0,0,0,,12.0,0.0,13.0,44.0,0.0
79000,2015,1,5,1,AA,1062,N3EEAA,LAX,ORD,2355,2353.0,-2.0,16.0,9.0,235.0,264.0,210.0,1744,539.0,38.0,550,617.0,27.0,0,0,,27.0,0.0,0.0,0.0,0.0
80000,2015,1,6,2,WN,964,N7814B,HOU,DEN,625,654.0,29.0,8.0,702.0,155.0,145.0,130.0,883,812.0,7.0,800,819.0,19.0,0,0,,0.0,0.0,19.0,0.0,0.0
81000,2015,1,6,2,MQ,2946,N923MQ,LCH,DFW,720,709.0,-11.0,27.0,736.0,80.0,110.0,67.0,295,843.0,16.0,840,859.0,19.0,0,0,,19.0,0.0,0.0,0.0,0.0
82000,2015,1,6,2,B6,651,N584JB,TPA,SJU,823,813.0,-10.0,10.0,823.0,169.0,168.0,154.0,1237,1157.0,4.0,1212,1201.0,-11.0,0,0,,,,,,
83000,2015,1,6,2,OO,3457,N225AG,BUR,PDX,920,913.0,-7.0,12.0,925.0,141.0,131.0,115.0,817,1120.0,4.0,1141,1124.0,-17.0,0,0,,,,,,
84000,2015,1,6,2,UA,1401,N27205,EWR,MIA,1025,1044.0,19.0,55.0,1139.0,194.0,223.0,165.0,1085,1424.0,3.0,1339,1427.0,48.0,0,0,,29.0,0.0,19.0,0.0,0.0
85000,2015,1,6,2,EV,5154,N608QX,PHL,MSP,1125,1238.0,73.0,85.0,1403.0,177.0,255.0,166.0,980,1549.0,4.0,1322,1553.0,151.0,0,0,,78.0,0.0,73.0,0.0,0.0
86000,2015,1,6,2,EV,4999,N855AS,ATL,MOB,1230,1329.0,59.0,9.0,1338.0,74.0,64.0,50.0,302,1328.0,5.0,1244,1333.0,49.0,0,0,,0.0,0.0,0.0,49.0,0.0
87000,2015,1,6,2,DL,981,N931DN,BOS,ATL,1330,1329.0,-1.0,35.0,1404.0,186.0,191.0,150.0,946,1634.0,6.0,1636,1640.0,4.0,0,0,,,,,,
88000,2015,1,6,2,US,1750,N700UW,ALB,CLT,1435,1429.0,-6.0,24.0,1453.0,136.0,138.0,108.0,646,1641.0,6.0,1651,1647.0,-4.0,0,0,,,,,,
89000,2015,1,6,2,EV,5366,N752EV,DTW,MDW,1535,1558.0,23.0,79.0,1717.0,81.0,136.0,49.0,228,1706.0,8.0,1556,1714.0,78.0,0,0,,55.0,0.0,23.0,0.0,0.0
90000,2015,1,6,2,AA,1608,N3LBAA,DFW,SJU,1640,1645.0,5.0,16.0,1701.0,263.0,273.0,249.0,2165,2310.0,8.0,2303,2318.0,15.0,0,0,,15.0,0.0,0.0,0.0,0.0
91000,2015,1,6,2,WN,147,N399WN,FLL,BWI,1740,2104.0,204.0,13.0,2117.0,150.0,142.0,124.0,925,2321.0,5.0,2010,2326.0,196.0,0,0,,0.0,0.0,23.0,173.0,0.0
92000,2015,1,6,2,NK,403,N608NK,ATL,FLL,1845,1850.0,5.0,11.0,1901.0,109.0,120.0,83.0,581,2024.0,26.0,2034,2050.0,16.0,0,0,,16.0,0.0,0.0,0.0,0.0
93000,2015,1,6,2,AS,70,N520AS,ANC,JNU,1955,2055.0,60.0,8.0,2103.0,98.0,100.0,81.0,571,2224.0,11.0,2133,2235.0,62.0,0,0,,2.0,0.0,0.0,0.0,60.0
94000,2015,1,6,2,AA,1585,N3CUAA,MCO,MIA,2145,2144.0,-1.0,13.0,2157.0,59.0,67.0,39.0,192,2236.0,15.0,2244,2251.0,7.0,0,0,,,,,,
95000,2015,1,7,3,WN,1137,N442WN,BOS,ATL,605,606.0,1.0,22.0,628.0,195.0,195.0,162.0,946,910.0,11.0,920,921.0,1.0,0,0,,,,,,
96000,2015,1,7,3,OO,4463,N418SW,MKE,DTW,700,656.0,-4.0,27.0,723.0,81.0,83.0,48.0,237,911.0,8.0,921,919.0,-2.0,0,0,,,,,,
97000,2015,1,7,3,WN,1011,N786SW,SNA,SFO,805,803.0,-2.0,17.0,820.0,85.0,84.0,61.0,372,921.0,6.0,930,927.0,-3.0,0,0,,,,,,
98000,2015,1,7,3,AA,336,N4WKAA,ABQ,DFW,901,901.0,0.0,30.0,931.0,104.0,122.0,83.0,569,1154.0,9.0,1145,1203.0,18.0,0,0,,18.0,0.0,0.0,0.0,0.0
99000,2015,1,7,3,WN,4212,N714CB,MDW,PHL,1005,1003.0,-2.0,9.0,1012.0,110.0,94.0,81.0,668,1233.0,4.0,1255,1237.0,-18.0,0,0,,,,,,
100000,2015,1,7,3,B6,1563,N579JB,ORD,SJU,1109,1125.0,16.0,15.0,1140.0,275.0,257.0,238.0,2072,1738.0,4.0,1744,1742.0,-2.0,0,0,,,,,,
101000,2015,1,7,3,OO,2629,N417SW,ELP,LAX,1208,1207.0,-1.0,18.0,1225.0,132.0,129.0,91.0,715,1256.0,20.0,1320,1316.0,-4.0,0,0,,,,,,
102000,2015,1,7,3,EV,5957,N11150,ORD,SDF,1310,1320.0,10.0,25.0,1345.0,78.0,80.0,49.0,287,1534.0,6.0,1528,1540.0,12.0,0,0,,,,,,
103000,2015,1,7,3,OO,5217,N956SW,BUR,SFO,1411,1404.0,-7.0,13.0,1417.0,84.0,74.0,56.0,326,1513.0,5.0,1535,1518.0,-17.0,0,0,,,,,,
104000,2015,1,7,3,F9,1053,N902FR,SLC,PHX,1515,1506.0,-9.0,23.0,1529.0,100.0,104.0,76.0,507,1645.0,5.0,1655,1650.0,-5.0,0,0,,,,,,
105000,2015,1,7,3,US,596,N648AW,SMF,PHX,1616,1610.0,-6.0,14.0,1624.0,106.0,133.0,101.0,647,1905.0,18.0,1902,1923.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0
106000,2015,1,7,3,US,608,N582UW,TPA,PHX,1720,1717.0,-3.0,10.0,1727.0,285.0,260.0,243.0,1788,1930.0,7.0,2005,1937.0,-28.0,0,0,,,,,,
107000,2015,1,7,3,US,1711,N179UW,CLT,EWR,1815,1812.0,-3.0,15.0,1827.0,107.0,121.0,97.0,529,2004.0,9.0,2002,2013.0,11.0,0,0,,,,,,
108000,2015,1,7,3,OO,4684,N453SW,MSP,RST,1920,2110.0,110.0,10.0,2120.0,52.0,33.0,19.0,76,2139.0,4.0,2012,2143.0,91.0,0,0,,0.0,0.0,0.0,91.0,0.0
109000,2015,1,7,3,DL,2379,N3773D,ATL,IAD,2045,2041.0,-4.0,13.0,2054.0,103.0,89.0,68.0,534,2202.0,8.0,2228,2210.0,-18.0,0,0,,,,,,
110000,2015,1,8,4,US,2062,N173US,MCO,CLT,520,513.0,-7.0,19.0,532.0,97.0,96.0,74.0,468,646.0,3.0,657,649.0,-8.0,0,0,,,,,,
111000,2015,1,8,4,DL,2584,N933AT,EWR,ATL,630,625.0,-5.0,26.0,651.0,168.0,153.0,110.0,746,841.0,17.0,918,858.0,-20.0,0,0,,,,,,
112000,2015,1,8,4,US,1826,N585UW,BOS,PHL,730,727.0,-3.0,26.0,753.0,105.0,96.0,65.0,280,858.0,5.0,915,903.0,-12.0,0,0,,,,,,
113000,2015,1,8,4,US,1949,N738US,CLE,CLT,830,829.0,-1.0,22.0,851.0,109.0,104.0,72.0,430,1003.0,10.0,1019,1013.0,-6.0,0,0,,,,,,
114000,2015,1,8,4,UA,816,N493UA,SEA,SFO,930,1123.0,113.0,20.0,1143.0,135.0,127.0,102.0,679,1325.0,5.0,1145,1330.0,105.0,0,0,,0.0,0.0,105.0,0.0,0.0
115000,2015,1,8,4,DL,1233,N554NW,ATL,ORF,1025,1023.0,-2.0,18.0,1041.0,95.0,85.0,64.0,516,1145.0,3.0,1200,1148.0,-12.0,0,0,,,,,,
116000,2015,1,8,4,EV,4490,N13997,IAH,MAF,1125,1150.0,25.0,14.0,1204.0,92.0,83.0,65.0,429,1309.0,4.0,1257,1313.0,16.0,0,0,,0.0,0.0,0.0,16.0,0.0
117000,2015,1,8,4,MQ,3640,N522MQ,LGA,STL,1229,1226.0,-3.0,25.0,1251.0,174.0,171.0,143.0,888,1414.0,3.0,1423,1417.0,-6.0,0,0,,,,,,
118000,2015,1,8,4,NK,250,N612NK,MCO,MSP,1325,1317.0,-8.0,11.0,1328.0,208.0,229.0,196.0,1310,1544.0,22.0,1553,1606.0,13.0,0,0,,,,,,
119000,2015,1,8,4,UA,1178,N69804,IAH,SAN,1430,1429.0,-1.0,16.0,1445.0,215.0,182.0,163.0,1303,1528.0,3.0,1605,1531.0,-34.0,0,0,,,,,,
120000,2015,1,8,4,US,2120,N839AW,DCA,BOS,1530,1602.0,32.0,21.0,1623.0,91.0,90.0,64.0,399,1727.0,5.0,1701,1732.0,31.0,0,0,,0.0,0.0,31.0,0.0,0.0
121000,2015,1,8,4,US,681,N820AW,CMH,LAX,1630,1619.0,-11.0,9.0,1628.0,307.0,289.0,271.0,1995,1759.0,9.0,1837,1808.0,-29.0,0,0,,,,,,
122000,2015,1,8,4,DL,1548,N6711M,DTW,LGA,1726,1721.0,-5.0,21.0,1742.0,104.0,112.0,74.0,502,1856.0,17.0,1910,1913.0,3.0,0,0,,,,,,
123000,2015,1,8,4,WN,2290,N781WN,EWR,MDW,1825,,,,,155.0,,,711,,,2000,,,0,1,B,,,,,
124000,2015,1,8,4,WN,2614,N431WN,LAX,PHX,1930,1924.0,-6.0,5.0,1929.0,75.0,67.0,57.0,370,2126.0,5.0,2145,2131.0,-14.0,0,0,,,,,,
125000,2015,1,8,4,WN,400,N7745A,BWI,CMH,2050,2050.0,0.0,13.0,2103.0,85.0,81.0,62.0,337,2205.0,6.0,2215,2211.0,-4.0,0,0,,,,,,
126000,2015,1,9,5,US,1801,N821AW,IAH,CLT,515,505.0,-10.0,16.0,521.0,139.0,158.0,127.0,912,828.0,15.0,834,843.0,9.0,0,0,,,,,,
127000,2015,1,9,5,DL,2480,N896AT,MDT,ATL,630,626.0,-4.0,52.0,718.0,146.0,166.0,104.0,620,902.0,10.0,856,912.0,16.0,0,0,,16.0,0.0,0.0,0.0,0.0
128000,2015,1,9,5,US,662,N172US,CLT,SFO,730,827.0,57.0,16.0,843.0,347.0,341.0,312.0,2296,1055.0,13.0,1017,1108.0,51.0,0,0,,0.0,0.0,51.0,0.0,0.0
129000,2015,1,9,5,US,1992,N740UW,DCA,FLL,830,833.0,3.0,21.0,854.0,173.0,166.0,141.0,899,1115.0,4.0,1123,1119.0,-4.0,0,0,,,,,,
